adm1_name,adm1_pcode,adm2_name,adm2_pcode,adm3_name,adm3_pcode,poverty_incidence_2023,poverty_standard_error_2023,poverty_coefficient_of_variation_2023,poverty_ci_lower_2023,poverty_ci_upper_2023,poverty_threshold_php_2023,poverty_precision_flag,poverty_source_year,poverty_source_type,poverty_join_status,registry_clinical,osm_health,registry_gap_share,buildings_p85,underobserved_buildings_adm3_p85_proxy,gap_poverty_context_p85_proxy,poverty_source_label,poverty_source_url,area_sqkm,buildings_all,buildings_p90,building_area_m2_all,building_area_m2_p85,building_area_m2_p90,buildings_p85_per_sqkm,registry_all,registry_principal,osm_hospital,osm_clinic,osm_doctors,registry_minus_osm_clinical,osm_to_registry_clinical_ratio
Region II (Cagayan Valley),PH02,Isabela,PH02031,City of Cauayan,PH0203108,11.7135,0.9492,8.1036,10.1521,13.275,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,88,10,0.8864,25095,22244,2606.0,City of Cauayan,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,336.6831,82936,8624,6297521.4,3642314.1,2064108.2,74.54,115,17,7,2,1,78,0.1136
Region IX (Zamboanga Peninsula),PH09,City of Isabela (not a province),PH09097,City of Isabela,PH0909701,16.0,3.0,18.0,11.0,22.0,29770.0,cv_lte_20,2023.0,psa_openstat_direct_2023,openstat_direct_city_name_match,39,4,0.8974,24638,22110,3538.0,Isabela City,https://openstat.psa.gov.ph/PXWeb/api/v1/en/DB/1E/FY/0041E3DF02A.px,219.8697,38488,12030,2323475.7,1881773.6,1188495.1,112.06,42,12,4,0,0,35,0.1026
Region XI (Davao Region),PH11,Davao del Norte,PH11023,Island Garden City of Samal,PH1102317,14.6457,0.9884,6.749,13.0197,16.2716,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,55,12,0.7818,28238,22076,3233.0,Island Garden City of Samal,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,279.3763,61250,12328,3480410.1,2324778.6,1385783.1,101.08,59,9,1,9,2,43,0.2182
Region I (Ilocos Region),PH01,Pangasinan,PH01055,Malasiqui,PH0105524,13.5664,1.249,9.2065,11.5118,15.621,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,89,7,0.9213,23688,21824,2961.0,Malasiqui,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,137.9317,77764,8780,4674903.7,2624997.2,1435500.8,171.74,100,9,2,4,1,82,0.0787
Region IV-A (Calabarzon),PH04,Quezon,PH04056,Sariaya,PH0405645,3.7709,0.5422,14.3791,2.8789,4.6628,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,42,9,0.7857,27521,21623,815.0,Sariaya,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,213.8172,74173,14108,4624387.4,2867631.8,1934718.6,128.71,47,14,1,6,2,33,0.2143
National Capital Region (NCR),PH13,Metropolitan Manila Fourth District,PH13076,Taguig City,PH1307607,3.0,1.0,24.0,2.0,5.0,37711.0,cv_20_to_30_caution,2023.0,psa_openstat_direct_2023,openstat_direct_city_name_match,128,64,0.5,42721,21360,641.0,City of Taguig,https://openstat.psa.gov.ph/PXWeb/api/v1/en/DB/1E/FY/0041E3DF02A.px,35.5206,163859,12039,10935067.5,5956617.5,3519667.3,1202.71,202,106,11,30,23,64,0.5
Region IV-A (Calabarzon),PH04,Batangas,PH04010,San Juan,PH0401023,10.4252,1.2071,11.5783,8.4396,12.4108,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,53,6,0.8868,23822,21125,2202.0,San Juan,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,237.5642,64074,12016,4138227.5,2585612.2,1731284.1,100.28,61,9,4,1,1,47,0.1132
Region IV-A (Calabarzon),PH04,Quezon,PH04056,Candelaria,PH0405608,4.5557,0.2302,5.0533,4.177,4.9345,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,44,5,0.8864,23547,20872,951.0,Candelaria,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,136.754,63056,12587,4085626.3,2660296.3,1883894.9,172.19,54,15,3,2,0,39,0.1136
Region I (Ilocos Region),PH01,Pangasinan,PH01055,City of Urdaneta,PH0105546,9.3928,1.0159,10.8154,7.7217,11.0639,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,51,10,0.8039,25918,20835,1957.0,City of Urdaneta,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,95.546,72931,10137,5120720.6,3188523.4,1809325.7,271.26,77,18,3,4,3,41,0.1961
Region XII (Soccsksargen),PH12,Sarangani,PH12080,Alabel (Capital),PH1208001,22.6798,1.6019,7.063,20.0448,25.3149,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,19,1,0.9474,21816,20668,4687.0,Alabel,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,494.0094,42610,9309,2273627.8,1635530.7,987392.3,44.16,24,6,0,1,0,18,0.0526
Region I (Ilocos Region),PH01,Pangasinan,PH01055,Bayambang,PH0105511,14.8001,1.2223,8.2587,12.7894,16.8108,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,91,3,0.967,21313,20610,3050.0,Bayambang,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,136.7589,70975,7748,3881230.2,2103701.1,1083069.3,155.84,99,12,2,1,0,88,0.033
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Maguindanao del Norte,PH19087,Datu Odin Sinsuat (Dinaig),PH1908707,39.7946,1.118,2.8095,37.9555,41.6338,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,49,0,1.0,20515,20515,8164.0,Datu Odin Sinsuat (Dinaig),https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,388.0028,32360,9632,2065791.8,1647951.6,999595.6,52.87,49,9,0,0,0,49,0.0
Region VII (Central Visayas),PH07,Cebu,PH07022,Liloan,PH0702227,15.813,2.4902,15.7477,11.7167,19.9094,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,27,5,0.8148,25155,20496,3241.0,Liloan,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,53.0202,63039,12633,3921428.5,2605797.5,1776963.4,474.44,30,11,1,4,0,22,0.1852
Region III (Central Luzon),PH03,Pampanga,PH03054,Floridablanca,PH0305406,7.1441,0.9466,13.2497,5.587,8.7012,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,27,4,0.8519,24020,20463,1462.0,Floridablanca,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,134.8684,62607,9554,5001238.9,3203339.8,1703550.5,178.1,40,9,2,2,0,23,0.1481
Region XI (Davao Region),PH11,Davao del Sur,PH11024,City of Digos (Capital),PH1102403,10.057,0.7817,7.7723,8.7712,11.3428,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,56,23,0.5893,34578,20377,2049.0,City of Digos,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,265.631,80639,13088,6199023.8,3942484.9,2195489.8,130.17,72,18,6,14,3,33,0.4107
Mimaropa Region,PH17,Oriental Mindoro,PH17052,City of Calapan (Capital),PH1705205,6.1772,0.8961,14.5067,4.7031,7.6513,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,79,17,0.7848,25814,20259,1251.0,City of Calapan,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,185.4191,64013,12344,4995312.2,3198097.2,2019689.1,139.22,94,12,8,3,6,62,0.2152
Region IV-A (Calabarzon),PH04,Cavite,PH04021,Imus City,PH0402109,4.6173,0.3742,8.1036,4.0018,5.2328,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,148,85,0.4257,47395,20176,932.0,City of Imus,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,50.3776,127825,14326,10389852.4,6100294.1,2977794.1,940.79,185,44,9,65,11,63,0.5743
Region III (Central Luzon),PH03,Bulacan,PH03014,San Ildefonso,PH0301419,12.0597,0.9077,7.5271,10.5665,13.553,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,39,5,0.8718,22859,19928,2403.0,San Idelfonso,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,166.5758,64428,9426,5695275.5,3692419.2,2328439.8,137.23,45,6,1,0,4,34,0.1282
Region IV-A (Calabarzon),PH04,Cavite,PH04021,Trece Martires City (Capital),PH0402122,10.835,1.886,17.4066,7.7325,13.9375,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,39,9,0.7692,25883,19909,2157.0,City of Trece Martires,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,46.1538,69499,9864,4832905.0,2923677.4,1669697.3,560.8,54,19,6,2,1,30,0.2308
Region VII (Central Visayas),PH07,Cebu,PH07022,Mandaue City,PH0702230,7.0,1.0,18.0,5.0,10.0,35655.0,cv_lte_20,2023.0,psa_openstat_direct_2023,openstat_direct_city_name_match,51,24,0.5294,37545,19876,1391.0,City of Mandaue,https://openstat.psa.gov.ph/PXWeb/api/v1/en/DB/1E/FY/0041E3DF02A.px,31.1258,103502,18539,9952713.8,7210441.2,5607248.6,1206.23,93,17,10,7,7,27,0.4706
Region VII (Central Visayas),PH07,Cebu,PH07022,City of Talisay,PH0702250,12.7847,1.0055,7.8647,11.1307,14.4388,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,36,7,0.8056,24619,19833,2536.0,City of Talisay,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,42.1108,83559,11098,4939708.8,2743276.2,1757644.7,584.62,44,9,1,1,5,29,0.1944
Region III (Central Luzon),PH03,Bulacan,PH03014,City of Malolos (Capital),PH0301410,7.6843,1.0531,13.7045,5.9519,9.4166,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,85,40,0.5294,37444,19823,1523.0,City of Malolos,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,70.8379,91984,13835,7358961.4,4708111.1,2454455.9,528.59,132,31,23,6,11,45,0.4706
Region IX (Zamboanga Peninsula),PH09,Zamboanga del Norte,PH09072,Sindangan,PH0907218,42.3404,2.1354,5.0434,38.8277,45.8532,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,61,3,0.9508,20804,19780,8375.0,Sindangan,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,444.83,35853,9057,2027718.6,1570322.3,974382.8,46.77,66,6,1,1,1,58,0.0492
Region IV-A (Calabarzon),PH04,Batangas,PH04010,Batangas City (Capital),PH0401005,5.4106,0.4438,8.2033,4.6805,6.1407,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,123,87,0.2927,67540,19769,1070.0,Batangas City,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,274.3699,149000,38112,11434992.4,8074427.9,5746556.1,246.16,159,44,12,34,41,36,0.7073
Region IV-A (Calabarzon),PH04,Laguna,PH04034,City of San Pedro,PH0403425,4.5746,0.8597,18.792,3.1604,5.9887,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,50,14,0.72,27421,19743,903.0,City of San Pedro,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,24.0592,90857,7521,7023193.2,3962712.2,1862746.7,1139.73,67,17,6,5,3,36,0.28
Region XII (Soccsksargen),PH12,Cotabato (North Cotabato),PH12047,M'lang,PH1204710,22.0197,1.9,8.6287,18.8942,25.1452,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,47,3,0.9362,21043,19700,4338.0,M'lang,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,360.3446,37972,9729,2783878.5,2051648.5,1249437.6,58.4,50,9,3,0,0,44,0.0638
Region IV-A (Calabarzon),PH04,Batangas,PH04010,Rosario,PH0401021,9.254,0.6819,7.3688,8.1322,10.3757,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,53,16,0.6981,28125,19634,1817.0,Rosario,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,199.0243,73718,14010,6100175.7,4079494.1,2865807.4,141.31,59,15,7,8,1,37,0.3019
Region XII (Soccsksargen),PH12,Sarangani,PH12080,Malungon,PH1208007,22.9405,1.9342,8.4312,19.7588,26.1222,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,34,1,0.9706,20106,19515,4477.0,Malungon,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,768.7379,43423,6883,2208756.2,1410520.9,723528.7,26.15,36,3,1,0,0,33,0.0294
National Capital Region (NCR),PH13,Metropolitan Manila Fourth District,PH13076,City of Parañaque,PH1307604,1.0,1.0,48.0,0.0,2.0,37711.0,cv_gt_30_high_uncertainty,2023.0,psa_openstat_direct_2023,openstat_direct_city_name_match,66,45,0.3182,61203,19475,195.0,City of Parañaque,https://openstat.psa.gov.ph/PXWeb/api/v1/en/DB/1E/FY/0041E3DF02A.px,44.8282,153986,28651,16683599.4,12133992.1,8059163.2,1365.28,146,41,13,20,12,21,0.6818
Region XI (Davao Region),PH11,Davao del Norte,PH11023,Carmen,PH1102303,15.7943,1.8292,11.5814,12.7852,18.8033,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,27,2,0.9259,20999,19443,3071.0,Carmen,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,145.7309,40711,9549,2662029.0,1961742.9,1260047.2,144.09,30,7,2,0,0,25,0.0741
Mimaropa Region,PH17,Palawan,PH17053,Aborlan,PH1705301,19.7952,2.2219,11.2246,16.1402,23.4503,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,23,3,0.8696,22198,19303,3821.0,Aborlan,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,771.1213,24382,22010,1433633.9,1367065.3,1348648.4,28.79,23,3,2,0,1,20,0.1304
Mimaropa Region,PH17,Occidental Mindoro,PH17051,San Jose,PH1705110,16.6394,1.5333,9.2149,14.1171,19.1617,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,48,6,0.875,21779,19057,3171.0,San Jose,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,610.717,65006,9632,4543080.1,2592326.8,1541472.7,35.66,57,12,3,2,1,42,0.125
Region XII (Soccsksargen),PH12,Cotabato (North Cotabato),PH12047,Matalam,PH1204708,24.5809,2.1211,8.629,21.0918,28.0701,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,38,1,0.9737,19513,19000,4670.0,Matalam,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,419.3973,35822,8473,2346913.3,1725773.2,1000853.8,46.53,39,4,0,0,1,37,0.0263
Region XII (Soccsksargen),PH12,Cotabato (North Cotabato),PH12047,Midsayap,PH1204709,17.8472,1.4663,8.2158,15.4352,20.2593,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,55,10,0.8182,23057,18865,3367.0,Midsayap,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,195.5303,41693,10357,3105360.6,2307411.2,1377096.4,117.92,67,12,5,3,2,45,0.1818
Region XII (Soccsksargen),PH12,South Cotabato,PH12063,Surallah,PH1206313,14.1138,1.4237,10.0875,11.7717,16.4558,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,34,5,0.8529,22099,18848,2660.0,Surallah,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,264.0435,46193,9062,2985914.4,2051319.2,1189539.0,83.69,38,9,3,1,1,29,0.1471
Region XII (Soccsksargen),PH12,Sultan Kudarat,PH12065,Bagumbayan,PH1206501,28.7102,2.4313,8.4683,24.7108,32.7096,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,23,0,1.0,18739,18739,5380.0,Bagumbayan,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,557.7653,35861,7640,2027643.4,1437998.0,807495.0,33.6,25,4,0,0,0,23,0.0
Region XIII (Caraga),PH16,Surigao del Norte,PH16067,Surigao City (Capital),PH1606724,8.5425,0.7253,8.49,7.3494,9.7355,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,71,16,0.7746,24126,18688,1596.0,City of Surigao,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,282.2856,59401,12370,3824918.0,2375644.6,1591040.6,85.47,86,18,5,3,8,55,0.2254
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Maguindanao del Norte,PH19087,Sultan Kudarat (Nuling),PH1908712,44.1739,2.5611,5.7977,39.961,48.3869,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,42,2,0.9524,18945,18043,7970.0,Sultan Kudarat (Nuling),https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,183.9887,30481,8902,1962458.4,1550080.9,968515.0,102.97,42,8,1,0,1,40,0.0476
Region V (Bicol Region),PH05,Camarines Sur,PH05017,Naga City,PH0501724,10.2743,1.243,12.0979,8.2296,12.319,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,68,23,0.6618,27037,17893,1838.0,City of Naga,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,79.7994,75933,12973,5411534.9,3382952.9,2257481.6,338.81,97,28,8,9,6,45,0.3382
Region VI (Western Visayas),PH06,Negros Occidental,PH06045,Bago City,PH0604502,21.8201,2.7147,12.4414,17.3544,26.2859,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,42,2,0.9524,18319,17447,3807.0,City of Bago,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,406.8669,58070,8644,3443141.1,1918335.8,1247785.9,45.02,46,4,1,0,1,40,0.0476
National Capital Region (NCR),PH13,Metropolitan Manila Second District,PH13074,City of Pasig,PH1307403,3.0,1.0,26.0,2.0,5.0,37711.0,cv_20_to_30_caution,2023.0,psa_openstat_direct_2023,openstat_direct_city_name_match,131,80,0.3893,44377,17276,518.0,City of Pasig,https://openstat.psa.gov.ph/PXWeb/api/v1/en/DB/1E/FY/0041E3DF02A.px,31.3042,132908,16157,12727920.8,8566677.2,5704685.2,1417.6,229,93,16,30,34,51,0.6107
Region VIII (Eastern Visayas),PH08,Leyte,PH08037,Ormoc City,PH0803738,22.273,2.5963,11.6569,18.002,26.544,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,53,29,0.4528,38127,17264,3845.0,Ormoc City,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,540.8456,87354,20381,5651910.6,3864318.0,2782023.3,70.5,71,19,7,5,17,24,0.5472
Region IV-A (Calabarzon),PH04,Laguna,PH04034,San Pablo City,PH0403424,9.0738,0.8276,9.1213,7.7123,10.4353,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,114,58,0.4912,34766,17077,1550.0,City of San Pablo,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,186.337,92529,17271,6827974.0,4180374.1,2741712.2,186.58,131,27,7,23,28,56,0.5088
Region XII (Soccsksargen),PH12,Cotabato (North Cotabato),PH12047,Makilala,PH1204707,21.3758,1.917,8.9682,18.2223,24.5293,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,44,2,0.9545,17746,16939,3621.0,Makilala,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,343.8747,39669,6963,2399380.2,1548664.5,846557.0,51.61,44,6,2,0,0,42,0.0455
Region XI (Davao Region),PH11,Davao de Oro (Compostela Valley),PH11082,Laak (San Vicente),PH1108202,22.2255,2.1305,9.5858,18.7208,25.7301,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,48,3,0.9375,18055,16927,3762.0,Laak (San Vicente),https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,708.5529,32450,8233,1767967.4,1264568.7,727093.5,25.48,50,4,1,1,1,45,0.0625
Region III (Central Luzon),PH03,Nueva Ecija,PH03049,San Jose City,PH0304926,11.9665,0.922,7.7045,10.4498,13.4831,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,52,2,0.9615,17597,16920,2025.0,San Jose City,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,191.9471,68917,5538,5109748.5,2667486.2,1465340.8,91.68,66,15,2,0,0,50,0.0385
Cordillera Administrative Region (CAR),PH14,Kalinga,PH14032,City of Tabuk (Capital),PH1403213,3.8651,0.3633,9.4,3.2674,4.4628,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,61,6,0.9016,18652,16817,650.0,City of Tabuk,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,689.8422,63910,5656,3941456.2,1920389.5,832518.1,27.04,83,19,3,1,2,55,0.0984
National Capital Region (NCR),PH13,Metropolitan Manila First District,PH13039,City of Manila,PH1303901,2.0,1.0,27.0,1.0,4.0,37711.0,cv_20_to_30_caution,2023.0,psa_openstat_direct_2023,openstat_direct_city_name_match,236,152,0.3559,47189,16795,336.0,City of Manila,https://openstat.psa.gov.ph/PXWeb/api/v1/en/DB/1E/FY/0041E3DF02A.px,41.9601,185176,14679,16674140.3,9612258.8,5520396.1,1124.62,444,190,41,63,48,84,0.6441
Region II (Cagayan Valley),PH02,Cagayan,PH02015,Tuguegarao City (Capital),PH0201529,3.1565,0.4517,14.3088,2.4136,3.8995,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,64,23,0.6406,26133,16741,528.0,Tuguegarao City,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,119.5978,80487,8849,6387946.7,3623245.0,1848244.8,218.51,101,16,11,10,2,41,0.3594
Region VII (Central Visayas),PH07,Cebu,PH07022,Toledo City,PH0702251,25.8155,2.1211,8.2163,22.3263,29.3047,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,47,4,0.9149,18256,16702,4312.0,City of Toledo,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,232.3601,62763,7370,3779994.4,1972841.1,1205055.4,78.57,61,7,2,0,2,43,0.0851
Region V (Bicol Region),PH05,Sorsogon,PH05062,City of Sorsogon (Capital),PH0506216,23.824,1.4408,6.0478,21.4538,26.1942,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,86,10,0.8837,18783,16599,3955.0,City of Sorsogon,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,281.4838,62278,7738,3880794.9,2014448.0,1180214.5,66.73,99,15,6,4,0,76,0.1163
Region IV-A (Calabarzon),PH04,Rizal,PH04058,Taytay,PH0405813,5.4132,1.2981,23.9797,3.2779,7.5486,,cv_20_to_30_caution,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,82,31,0.622,26380,16408,888.0,Taytay,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,28.5067,89811,8340,6324596.8,3636436.9,2054964.0,925.4,110,37,4,21,6,51,0.378
Region II (Cagayan Valley),PH02,Isabela,PH02031,City of Santiago,PH0203135,9.6605,1.1954,12.3742,7.6941,11.627,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,62,12,0.8065,20184,16278,1573.0,City of Santiago,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,151.8165,76003,5892,5476215.4,2718024.4,1264790.4,132.95,81,16,9,1,2,50,0.1935
Region XII (Soccsksargen),PH12,Sultan Kudarat,PH12065,Esperanza,PH1206503,22.8102,1.7289,7.5794,19.9662,25.6542,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,27,1,0.963,16893,16268,3711.0,Esperanza,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,223.1798,30377,7867,1887162.4,1441995.5,896666.9,75.69,29,7,1,0,0,26,0.037
Region XII (Soccsksargen),PH12,Cotabato (North Cotabato),PH12047,Alamada,PH1204701,30.8981,2.9808,9.6471,25.9947,35.8015,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,19,0,1.0,16258,16258,5023.0,Alamada,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,564.0269,28872,6821,1683547.8,1225906.6,681656.2,28.82,21,2,0,0,0,19,0.0
Region IX (Zamboanga Peninsula),PH09,Zamboanga Sibugay,PH09083,Ipil (Capital),PH0908305,13.2527,1.6368,12.3504,10.5603,15.9452,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,27,5,0.8148,19818,16148,2140.0,Ipil,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,158.1729,34321,8989,2303031.2,1757704.8,1096548.4,125.29,37,9,3,0,2,22,0.1852
