adm1_name,adm1_pcode,adm2_name,adm2_pcode,adm3_name,adm3_pcode,area_sqkm,buildings_all,buildings_p85,buildings_p90,building_area_m2_all,building_area_m2_p85,building_area_m2_p90,buildings_p85_per_sqkm,registry_all,registry_principal,registry_clinical,osm_health,osm_hospital,osm_clinic,osm_doctors,registry_minus_osm_clinical,osm_to_registry_clinical_ratio,registry_gap_share,underobserved_buildings_adm3_p85_proxy
Region I (Ilocos Region),PH01,La Union,PH01033,City of San Fernando (Capital),PH0103314,98.8908,53017,18900,7679,4431216.4,2748772.2,1598184.4,191.12,107,13,80,15,7,5,3,65,0.1875,0.8125,15356
Region III (Central Luzon),PH03,Nueva Ecija,PH03049,Talavera,PH0304930,131.7657,62653,16705,5447,4593064.9,2359099.1,1210556.6,126.78,56,11,49,4,1,2,1,45,0.0816,0.9184,15342
Region XII (Soccsksargen),PH12,Sultan Kudarat,PH12065,Lebak,PH1206506,465.7414,26033,15787,7246,1823987.5,1412530.9,859659.1,33.9,35,5,33,1,1,0,0,32,0.0303,0.9697,15309
Region X (Northern Mindanao),PH10,Misamis Oriental,PH10043,Opol,PH1004321,192.1046,30601,15875,7056,2258088.2,1691349.6,1124431.7,82.64,19,4,18,1,0,0,1,17,0.0556,0.9444,14992
Region III (Central Luzon),PH03,Bulacan,PH03014,Calumpit,PH0301407,46.8005,45893,17870,6494,3203910.2,2001409.0,1057741.4,381.83,45,7,37,6,2,0,4,31,0.1622,0.8378,14971
Region IV-A (Calabarzon),PH04,Rizal,PH04058,Rodriguez (Montalban),PH0405808,235.0381,91488,17332,3414,6241075.7,2194775.3,887092.4,73.74,74,26,57,8,3,2,3,49,0.1404,0.8596,14899
Region V (Bicol Region),PH05,Camarines Sur,PH05017,Iriga City,PH0501716,139.157,49699,16080,7131,2962730.4,1604891.7,956745.2,115.55,57,16,53,4,4,0,0,49,0.0755,0.9245,14866
Region XII (Soccsksargen),PH12,Sarangani,PH12080,Glan,PH1208002,708.6928,37253,16009,5648,1883155.7,1169789.8,610230.7,22.59,37,4,36,3,1,2,0,33,0.0833,0.9167,14675
Region VI (Western Visayas),PH06,Negros Occidental,PH06045,City of Kabankalan,PH0604515,659.2586,54315,16109,6168,3281728.2,1648913.2,939564.7,24.44,72,12,59,6,4,2,0,53,0.1017,0.8983,14471
Region IV-A (Calabarzon),PH04,Batangas,PH04010,San Pascual,PH0401026,35.2628,33024,16064,9591,2451526.7,1808118.6,1302299.8,455.55,33,3,30,3,2,1,0,27,0.1,0.9,14458
Region III (Central Luzon),PH03,Tarlac,PH03069,Gerona,PH0306906,122.3488,60320,19636,7714,3945049.0,2499561.2,1539226.5,160.49,34,9,30,8,1,6,1,22,0.2667,0.7333,14399
Region VIII (Eastern Visayas),PH08,Samar (Western Samar),PH08060,Calbayog City,PH0806003,875.9816,54035,17465,7172,3254853.5,1662938.9,959340.3,19.94,48,15,39,7,4,1,2,32,0.1795,0.8205,14330
Region III (Central Luzon),PH03,Tarlac,PH03069,Capas,PH0306904,446.4783,76827,25862,8874,6576174.9,4159311.5,2459954.0,57.92,44,14,29,13,4,8,1,16,0.4483,0.5517,14268
Region III (Central Luzon),PH03,Nueva Ecija,PH03049,Guimba,PH0304911,215.3531,58045,17033,5130,3906646.8,2002283.8,848945.6,79.09,51,8,41,7,3,1,3,34,0.1707,0.8293,14125
Region XI (Davao Region),PH11,Davao de Oro (Compostela Valley),PH11082,Maco,PH1108204,317.3006,30746,14524,5892,1813533.7,1200128.2,668752.8,45.77,38,2,36,1,0,0,1,35,0.0278,0.9722,14120
Region XI (Davao Region),PH11,Davao del Norte,PH11023,New Corella,PH1102314,244.3895,24916,14070,6481,1622149.1,1218308.3,742675.3,57.57,27,4,24,0,0,0,0,24,0.0,1.0,14070
Region I (Ilocos Region),PH01,Pangasinan,PH01055,Lingayen (Capital),PH0105522,71.4208,54371,16486,5886,3386311.9,1886560.0,977305.0,230.83,51,7,40,6,2,3,1,34,0.15,0.85,14013
Region VI (Western Visayas),PH06,Capiz,PH06019,Roxas City (Capital),PH0601914,103.0534,69772,25702,12046,5405540.9,3360967.2,2139663.6,249.4,88,14,68,31,12,17,2,37,0.4559,0.5441,13984
Region III (Central Luzon),PH03,Bulacan,PH03014,Hagonoy,PH0301409,83.3944,51560,16308,5420,2906012.7,1566640.2,755310.6,195.55,47,19,42,6,3,2,1,36,0.1429,0.8571,13978
Region X (Northern Mindanao),PH10,Misamis Oriental,PH10043,City of El Salvador,PH1004307,85.1224,29115,14704,6643,2053311.2,1575854.8,1125867.7,172.74,19,3,19,1,0,1,0,18,0.0526,0.9474,13931
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Sulu,PH19066,Patikul,PH1906611,140.0922,22998,13931,6020,1343170.3,1027573.0,578565.5,99.44,12,2,12,0,0,0,0,12,0.0,1.0,13931
Mimaropa Region,PH17,Oriental Mindoro,PH17052,Pinamalayan,PH1705209,167.7691,35672,14169,6478,2298465.8,1359128.1,794971.5,84.46,47,7,45,1,1,0,0,44,0.0222,0.9778,13854
Region III (Central Luzon),PH03,Tarlac,PH03069,Camiling,PH0306903,131.3917,53978,17858,7418,3448463.6,2071922.5,1167285.8,135.91,27,6,22,5,3,1,1,17,0.2273,0.7727,13799
Region VI (Western Visayas),PH06,Iloilo,PH06030,Oton,PH0603034,85.419,41635,14194,6227,2540636.5,1443579.4,847888.5,166.17,43,1,35,1,0,0,1,34,0.0286,0.9714,13788
Region V (Bicol Region),PH05,Camarines Sur,PH05017,Pili (Capital),PH0501728,123.5863,47990,14557,6230,2845108.5,1679227.4,1127923.7,117.79,46,11,37,2,1,1,0,35,0.0541,0.9459,13769
Region X (Northern Mindanao),PH10,Bukidnon,PH10013,Quezon,PH1001317,647.2252,27571,14359,5492,1961894.5,1364074.3,741468.4,22.19,45,10,44,2,1,1,0,42,0.0455,0.9545,13706
Region III (Central Luzon),PH03,Nueva Ecija,PH03049,Cabanatuan City,PH0304903,189.2308,137747,41020,13733,10039324.5,5570779.8,2843289.1,216.77,96,25,60,40,10,15,15,20,0.6667,0.3333,13672
Region XI (Davao Region),PH11,Davao de Oro (Compostela Valley),PH11082,Maragusan (San Mariano),PH1108205,425.9355,28421,13656,4997,1818320.0,1215949.0,621894.0,32.06,30,3,28,0,0,0,0,28,0.0,1.0,13656
Region XII (Soccsksargen),PH12,Cotabato (North Cotabato),PH12047,Kabacan,PH1204703,149.9317,36322,18120,7797,2639600.0,1841607.7,1043950.5,120.86,34,10,28,7,5,0,2,21,0.25,0.75,13590
Region VII (Central Visayas),PH07,Cebu,PH07022,City of Naga,PH0702234,97.1608,50224,13994,5783,2754219.5,1465061.7,916111.0,144.03,40,5,34,1,1,0,0,33,0.0294,0.9706,13583
Region X (Northern Mindanao),PH10,Misamis Oriental,PH10043,Balingasag,PH1004302,165.6936,28493,13910,6398,1773175.1,1255206.7,791057.9,83.95,35,4,34,1,1,0,0,33,0.0294,0.9706,13501
Region XII (Soccsksargen),PH12,Cotabato (North Cotabato),PH12047,Carmen,PH1204702,496.6571,24900,14021,5987,1520533.3,1129832.6,656712.3,28.23,24,3,24,1,1,0,0,23,0.0417,0.9583,13436
Region IV-A (Calabarzon),PH04,Cavite,PH04021,Naic,PH0402115,70.9273,57848,17708,6394,4427498.8,2492376.7,1342990.9,249.66,50,17,45,11,5,3,3,34,0.2444,0.7556,13380
Region X (Northern Mindanao),PH10,Misamis Oriental,PH10043,Gingoog City,PH1004308,578.0547,36732,13795,6280,2573752.7,1485034.0,928923.8,23.86,92,8,89,3,3,0,0,86,0.0337,0.9663,13330
Region XI (Davao Region),PH11,Davao de Oro (Compostela Valley),PH11082,Monkayo,PH1108207,565.1301,33227,13305,3664,2368928.6,1294515.6,502037.1,23.54,38,3,36,0,0,0,0,36,0.0,1.0,13305
Region XIII (Caraga),PH16,Surigao del Sur,PH16068,City of Bislig,PH1606803,413.7848,36552,16024,5669,2457119.1,1527084.0,765752.0,38.73,50,7,46,8,2,4,2,38,0.1739,0.8261,13237
Region V (Bicol Region),PH05,Camarines Sur,PH05017,Libmanan,PH0501718,368.8601,45211,13361,5678,2127563.7,1060605.9,600760.2,36.22,87,11,86,1,1,0,0,85,0.0116,0.9884,13206
Region X (Northern Mindanao),PH10,Misamis Occidental,PH10042,Tangub City,PH1004215,178.9975,25238,13153,5581,1620080.7,1181330.8,732603.6,73.48,53,4,51,0,0,0,0,51,0.0,1.0,13153
Region III (Central Luzon),PH03,Bulacan,PH03014,City of Meycauayan,PH0301412,31.7826,62596,20536,7409,6533911.8,4630354.5,3285415.0,646.14,79,26,61,22,8,10,4,39,0.3607,0.6393,13129
Region XI (Davao Region),PH11,Davao del Sur,PH11024,Matanao,PH1102410,250.343,30499,13749,4878,1809884.1,1173895.0,627641.4,54.92,40,2,37,2,2,0,0,35,0.0541,0.9459,13005
Region I (Ilocos Region),PH01,Pangasinan,PH01055,Mangaldan,PH0105526,48.327,48627,14838,5310,3165647.4,1721873.2,885654.5,307.03,37,6,32,4,0,2,2,28,0.125,0.875,12983
Region VII (Central Visayas),PH07,Negros Oriental,PH07046,Dumaguete City (Capital),PH0704610,34.308,60166,27130,14648,5150008.0,3694264.0,2618293.5,790.78,67,11,44,23,6,10,7,21,0.5227,0.4773,12949
Region III (Central Luzon),PH03,Bataan,PH03008,Dinalupihan,PH0300804,75.5098,42172,13829,4646,3198295.6,1797360.6,876888.8,183.14,53,10,46,3,2,0,1,43,0.0652,0.9348,12927
Region VII (Central Visayas),PH07,Cebu,PH07022,Minglanilla,PH0702232,51.1362,51984,15934,7270,3114863.2,1707182.8,1055350.3,311.6,45,11,31,6,3,0,3,25,0.1935,0.8065,12851
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Sulu,PH19066,Indanan,PH1906601,103.1246,20955,12833,5618,1196583.8,928896.5,527289.9,124.44,11,2,11,0,0,0,0,11,0.0,1.0,12833
Region IX (Zamboanga Peninsula),PH09,Zamboanga del Sur,PH09073,Mahayag,PH0907315,185.2027,21888,12831,5557,1317063.4,1007989.3,622932.1,69.28,11,3,11,0,0,0,0,11,0.0,1.0,12831
Region IX (Zamboanga Peninsula),PH09,Zamboanga del Sur,PH09073,Dumingag,PH0907308,303.7347,21937,12812,5672,1123919.8,858116.7,526748.5,42.18,13,2,13,0,0,0,0,13,0.0,1.0,12812
Region XI (Davao Region),PH11,Davao del Norte,PH11023,Asuncion (Saug),PH1102301,223.2733,26279,14016,6272,1512948.3,1091644.5,642559.8,62.78,23,2,22,2,1,1,0,20,0.0909,0.9091,12742
Region IV-A (Calabarzon),PH04,Quezon,PH04056,City of Tayabas,PH0405647,224.9223,40150,14146,5456,2753049.4,1535959.1,857224.0,62.89,46,22,40,4,1,3,0,36,0.1,0.9,12731
Region II (Cagayan Valley),PH02,Isabela,PH02031,Echague,PH0203112,443.8563,45477,13470,4371,3349919.1,1810119.3,912789.1,30.35,76,8,71,4,2,2,0,67,0.0563,0.9437,12712
Region XII (Soccsksargen),PH12,South Cotabato,PH12063,Tupi,PH1206317,294.8684,28413,14113,5883,2064532.8,1472554.7,922582.5,47.86,25,4,20,2,2,0,0,18,0.1,0.9,12702
Region III (Central Luzon),PH03,Zambales,PH03071,Olongapo City,PH0307107,141.0905,63599,20591,7894,7053696.7,4720134.8,3156208.2,145.94,72,20,44,17,9,6,2,27,0.3864,0.6136,12635
Region IV-A (Calabarzon),PH04,Batangas,PH04010,Bauan,PH0401006,52.9883,37737,18652,10590,3157282.4,2326876.1,1657845.1,352.0,42,8,34,11,3,4,4,23,0.3235,0.6765,12618
Region XII (Soccsksargen),PH12,South Cotabato,PH12063,Tantangan,PH1206315,129.6297,24309,12524,5503,1488173.2,1087070.3,668577.1,96.61,18,1,17,0,0,0,0,17,0.0,1.0,12524
Region III (Central Luzon),PH03,Nueva Ecija,PH03049,City of Gapan,PH0304908,172.1585,52753,16663,6121,4102293.4,2459442.9,1399095.2,96.79,48,9,32,8,2,6,0,24,0.25,0.75,12497
Region IX (Zamboanga Peninsula),PH09,Zamboanga del Norte,PH09072,Dipolog City (Capital),PH0907202,118.5687,50875,29123,14119,4111382.5,3218655.3,2181708.7,245.62,48,6,35,20,5,12,3,15,0.5714,0.4286,12482
Region I (Ilocos Region),PH01,Pangasinan,PH01055,Calasiao,PH0105517,47.4371,46205,14468,5209,3003243.9,1679585.2,890360.1,304.99,44,4,29,4,1,3,0,25,0.1379,0.8621,12473
Region XII (Soccsksargen),PH12,Cotabato (North Cotabato),PH12047,Pigkawayan,PH1204711,199.2129,21679,12887,6053,1468548.2,1126234.2,694499.3,64.69,31,3,31,1,0,0,1,30,0.0323,0.9677,12471
Region I (Ilocos Region),PH01,Pangasinan,PH01055,Santa Barbara,PH0105538,62.5819,42355,13464,4881,2734447.5,1573514.5,848045.2,215.14,17,2,13,1,0,0,1,12,0.0769,0.9231,12429
Region XI (Davao Region),PH11,Davao Occidental,PH11086,Malita,PH1108603,606.3797,33808,14384,4814,1914594.6,1204352.4,654256.7,23.72,40,6,36,5,2,3,0,31,0.1389,0.8611,12386
Region XI (Davao Region),PH11,Davao del Sur,PH11024,Magsaysay,PH1102407,234.7238,28236,12886,4914,1558559.8,973168.8,495764.1,54.9,24,2,24,1,1,0,0,23,0.0417,0.9583,12349
Region I (Ilocos Region),PH01,Pangasinan,PH01055,Umingan,PH0105544,258.459,42245,12749,4207,2709077.5,1478559.8,749081.3,49.33,64,4,61,2,1,0,1,59,0.0328,0.9672,12331
Cordillera Administrative Region (CAR),PH14,Benguet,PH14011,La Trinidad (Capital),PH1401110,70.4203,58157,19219,6997,4698955.8,2617401.0,1270872.8,272.92,59,8,36,13,3,5,5,23,0.3611,0.6389,12279
Region IV-A (Calabarzon),PH04,Cavite,PH04021,Alfonso,PH0402101,70.2534,28523,13055,7132,2515631.4,1703025.6,1145414.8,185.83,38,5,33,2,1,0,1,31,0.0606,0.9394,12264
Region X (Northern Mindanao),PH10,Bukidnon,PH10013,Talakag,PH1001320,979.0358,31223,13414,4350,1740615.7,1106663.4,630399.8,13.7,23,3,23,2,1,1,0,21,0.087,0.913,12247
Region III (Central Luzon),PH03,Bulacan,PH03014,Plaridel,PH0301417,35.7424,43668,16569,5957,3908585.3,2581312.3,1560096.3,463.57,45,19,38,10,8,0,2,28,0.2632,0.7368,12208
Region X (Northern Mindanao),PH10,Bukidnon,PH10013,Lantapan,PH1001310,355.7746,27576,12158,4383,1771271.0,1189520.2,738828.8,34.17,20,5,19,0,0,0,0,19,0.0,1.0,12158
Region III (Central Luzon),PH03,Tarlac,PH03069,Bamban,PH0306902,207.4784,37523,13050,4635,3106421.5,1946832.0,1136181.7,62.9,18,5,14,1,0,0,1,13,0.0714,0.9286,12118
Region VI (Western Visayas),PH06,Negros Occidental,PH06045,City of Talisay,PH0604528,193.4815,35483,12460,6301,2601780.7,1555709.1,1037571.6,64.4,36,5,33,1,0,1,0,32,0.0303,0.9697,12082
Region XI (Davao Region),PH11,Davao de Oro (Compostela Valley),PH11082,Compostela,PH1108201,355.946,33546,13091,3868,2450439.0,1327011.0,579418.8,36.78,31,5,25,2,1,1,0,23,0.08,0.92,12044
Region IV-A (Calabarzon),PH04,Batangas,PH04010,Nasugbu,PH0401019,266.3404,37018,15442,7427,3086958.1,1979221.1,1260486.1,57.98,62,13,45,10,3,6,1,35,0.2222,0.7778,12011
Region XI (Davao Region),PH11,Davao de Oro (Compostela Valley),PH11082,Nabunturan (Capital),PH1108209,271.7309,33194,13466,4510,2465531.0,1465163.3,698812.1,49.56,44,7,37,4,2,1,1,33,0.1081,0.8919,12010
Region IV-A (Calabarzon),PH04,Quezon,PH04056,Tiaong,PH0405648,119.3962,39617,13797,6847,2705770.8,1619191.7,1056520.6,115.56,40,7,37,5,2,2,1,32,0.1351,0.8649,11933
Region IV-A (Calabarzon),PH04,Batangas,PH04010,Ibaan,PH0401010,70.3197,36612,14664,7773,2812818.8,1953212.2,1407405.6,208.53,37,3,32,6,2,4,0,26,0.1875,0.8125,11914
Region I (Ilocos Region),PH01,Pangasinan,PH01055,Pozorrubio,PH0105530,70.3906,36536,12222,4478,2399913.8,1383440.4,705702.4,173.63,43,4,38,1,1,0,0,37,0.0263,0.9737,11901
National Capital Region (NCR),PH13,Metropolitan Manila Fourth District,PH13076,City of Muntinlupa,PH1307603,39.1722,101769,35701,15292,10215330.5,6946066.0,4598756.1,911.39,116,41,63,42,8,22,12,21,0.6667,0.3333,11899
Region I (Ilocos Region),PH01,Ilocos Norte,PH01028,Laoag City (Capital),PH0102812,110.0562,64018,22857,9140,4684599.8,2922057.7,1645739.8,207.68,58,11,27,13,9,1,3,14,0.4815,0.5185,11851
Region II (Cagayan Valley),PH02,Cagayan,PH02015,Solana,PH0201527,272.9318,44541,12336,3644,2770127.4,1368176.6,585233.9,45.2,46,5,44,2,0,2,0,42,0.0455,0.9545,11775
Region VII (Central Visayas),PH07,Cebu,PH07022,City of Carcar,PH0702214,98.8542,44958,13830,5917,2530608.2,1344328.7,807753.1,139.9,44,9,33,5,2,1,2,28,0.1515,0.8485,11735
Region III (Central Luzon),PH03,Bulacan,PH03014,Pandi,PH0301415,50.4177,49892,14002,4735,4318008.7,2566293.6,1498445.5,277.72,44,14,37,6,1,1,4,31,0.1622,0.8378,11731
Region X (Northern Mindanao),PH10,Bukidnon,PH10013,Don Carlos,PH1001304,216.6847,25938,13492,5405,1720690.7,1218158.7,679544.3,62.27,43,6,38,5,1,4,0,33,0.1316,0.8684,11716
Region II (Cagayan Valley),PH02,Cagayan,PH02015,Baggao,PH0201506,927.4443,44677,12144,2839,2656430.1,1151298.8,389437.9,13.09,52,3,49,2,0,2,0,47,0.0408,0.9592,11649
Region XI (Davao Region),PH11,Davao del Sur,PH11024,Santa Cruz,PH1102412,220.6664,36983,14968,5690,2235258.9,1454180.5,940222.5,67.83,35,7,31,7,2,3,2,24,0.2258,0.7742,11588
Region XI (Davao Region),PH11,Davao del Norte,PH11023,Kapalong,PH1102305,775.2744,26374,13575,5515,1823137.0,1292077.6,719240.9,17.51,33,6,27,4,2,2,0,23,0.1481,0.8519,11565
Region I (Ilocos Region),PH01,La Union,PH01033,Bauang,PH0103307,75.8064,35892,12427,5027,2432771.5,1483171.1,848323.3,163.93,46,3,42,3,0,0,3,39,0.0714,0.9286,11540
Region I (Ilocos Region),PH01,Ilocos Sur,PH01029,City of Candon,PH0102906,77.5752,34006,12255,4949,2552777.1,1570720.8,862849.7,157.98,56,8,50,3,3,0,0,47,0.06,0.94,11520
Region I (Ilocos Region),PH01,Pangasinan,PH01055,Binalonan,PH0105512,56.5169,34288,11895,4889,2370498.7,1482646.1,868946.1,210.47,32,3,28,1,0,1,0,27,0.0357,0.9643,11470
Region X (Northern Mindanao),PH10,Lanao del Norte,PH10035,Lala,PH1003509,122.8264,22436,12999,5861,1536392.6,1171990.4,725702.4,105.83,37,7,34,4,1,2,1,30,0.1176,0.8824,11470
Region III (Central Luzon),PH03,Nueva Ecija,PH03049,Jaen,PH0304912,98.0962,46256,12078,4337,2698772.3,1346699.1,666308.1,123.12,23,4,17,1,0,0,1,16,0.0588,0.9412,11368
Region III (Central Luzon),PH03,Bulacan,PH03014,Pulilan,PH0301418,42.6445,39241,14076,5504,3485184.7,2246754.5,1367373.5,330.08,45,9,31,6,4,2,0,25,0.1935,0.8065,11352
Region XI (Davao Region),PH11,Davao del Sur,PH11024,Bansalan,PH1102401,214.5673,31417,13773,5325,2034569.2,1328648.3,748942.3,64.19,35,5,34,6,3,1,2,28,0.1765,0.8235,11342
Region XII (Soccsksargen),PH12,Cotabato (North Cotabato),PH12047,Tulunan,PH1204714,290.4739,22775,12310,5267,1531561.5,1116009.8,659303.2,42.38,35,5,34,3,2,1,0,31,0.0882,0.9118,11224
Region XII (Soccsksargen),PH12,South Cotabato,PH12063,T'Boli,PH1206316,811.3341,33838,13663,4286,1752592.5,985551.8,465200.4,16.84,30,3,28,5,4,0,1,23,0.1786,0.8214,11223
Region VII (Central Visayas),PH07,Negros Oriental,PH07046,City of Bayawan (Tulong),PH0704606,699.6413,41668,12494,4283,2266140.9,1077936.3,555829.2,17.86,51,9,47,5,5,0,0,42,0.1064,0.8936,11165
Mimaropa Region,PH17,Palawan,PH17053,Narra,PH1705315,753.3926,47175,11630,3581,2910844.6,1249931.9,342422.7,15.44,27,2,25,1,0,0,1,24,0.04,0.96,11165
Region VI (Western Visayas),PH06,Iloilo,PH06030,Pavia,PH0603036,25.4725,35692,13538,5490,2190615.4,1293035.8,749179.9,531.47,26,3,17,3,1,2,0,14,0.1765,0.8235,11149
Region XII (Soccsksargen),PH12,Cotabato (North Cotabato),PH12047,Libungan,PH1204705,167.7349,23371,12470,5437,1558922.3,1136885.9,679069.9,74.34,29,7,28,3,2,0,1,25,0.1071,0.8929,11134
Region X (Northern Mindanao),PH10,Bukidnon,PH10013,Maramag,PH1001315,320.4902,37864,19986,8275,2715667.7,1968830.3,1171610.6,62.36,29,8,27,12,3,6,3,15,0.4444,0.5556,11104
Region XII (Soccsksargen),PH12,Sultan Kudarat,PH12065,President Quirino,PH1206510,108.4985,23764,12199,5602,1340649.8,975785.5,583378.7,112.43,23,3,22,2,2,0,0,20,0.0909,0.9091,11090
Region XI (Davao Region),PH11,Davao Oriental,PH11025,Baganga,PH1102501,886.9007,24834,11673,4010,1488275.1,951835.6,473200.9,13.16,23,2,20,1,0,1,0,19,0.05,0.95,11089
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Maguindanao del Norte,PH19087,Upi,PH1908715,530.3516,19195,11584,5119,1124810.3,853239.7,499836.5,21.84,23,5,23,1,1,0,0,22,0.0435,0.9565,11080
Region II (Cagayan Valley),PH02,Isabela,PH02031,San Mateo,PH0203132,110.3987,37984,11828,3876,2664459.7,1438729.6,670102.0,107.14,46,7,43,3,2,0,1,40,0.0698,0.9302,11002
Mimaropa Region,PH17,Occidental Mindoro,PH17051,Sablayan,PH1705109,2103.4257,40641,12689,4920,2433902.8,1238450.7,665154.2,6.03,32,7,30,4,4,0,0,26,0.1333,0.8667,10998
Region IX (Zamboanga Peninsula),PH09,Zamboanga del Sur,PH09073,Molave,PH0907319,107.0172,20618,11824,5089,1396642.6,1055398.3,638641.2,110.49,16,5,14,1,1,0,0,13,0.0714,0.9286,10980
Region III (Central Luzon),PH03,Nueva Ecija,PH03049,Cabiao,PH0304904,112.2741,37348,12289,4382,2816929.3,1588282.7,797049.8,109.46,35,8,27,3,2,1,0,24,0.1111,0.8889,10924
Region IV-A (Calabarzon),PH04,Rizal,PH04058,San Mateo,PH0405811,57.5191,65802,17005,4666,4058138.8,1891084.9,811154.7,295.64,49,19,39,14,4,8,2,25,0.359,0.641,10900
Region III (Central Luzon),PH03,Pampanga,PH03054,Apalit,PH0305402,57.5918,42961,16934,6302,3158808.9,1976981.7,1012661.6,294.04,40,12,28,10,5,2,3,18,0.3571,0.6429,10887
Region XIII (Caraga),PH16,Agusan del Sur,PH16003,Prosperidad (Capital),PH1600306,491.8321,31515,13047,5027,1910062.2,1130253.6,608864.1,26.53,33,5,30,5,2,1,2,25,0.1667,0.8333,10872
Region III (Central Luzon),PH03,Pampanga,PH03054,Angeles City,PH0305401,121.029,141518,51678,20835,15780480.3,10592279.8,6624589.4,426.99,148,41,77,61,18,31,12,16,0.7922,0.2078,10739
Region X (Northern Mindanao),PH10,Bukidnon,PH10013,Pangantucan,PH1001316,430.6913,25020,12271,4584,1401814.1,946008.8,493556.8,28.49,24,5,24,3,2,1,0,21,0.125,0.875,10737
Region IV-A (Calabarzon),PH04,Cavite,PH04021,Indang,PH0402110,89.0027,29506,12920,6746,2644549.9,1785282.2,1177885.6,145.16,47,5,41,7,1,4,2,34,0.1707,0.8293,10715
Region I (Ilocos Region),PH01,Pangasinan,PH01055,Villasis,PH0105547,80.856,38689,12541,4709,2676567.8,1641391.1,977740.7,155.1,30,4,27,4,2,0,2,23,0.1481,0.8519,10684
Region XI (Davao Region),PH11,Davao del Sur,PH11024,Hagonoy,PH1102404,121.4624,25790,11097,4003,1620123.3,991589.4,523834.1,91.36,25,3,25,1,1,0,0,24,0.04,0.96,10653
Region I (Ilocos Region),PH01,Pangasinan,PH01055,Mangatarem,PH0105527,308.192,40275,11330,4076,2403888.0,1303838.0,708847.0,36.76,85,9,80,5,4,0,1,75,0.0625,0.9375,10622
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Maguindanao del Norte,PH19087,Parang,PH1908711,144.1727,15993,10621,5122,1148572.6,926063.0,572174.4,73.67,15,2,15,0,0,0,0,15,0.0,1.0,10621
Region IX (Zamboanga Peninsula),PH09,Zamboanga Sibugay,PH09083,Titay,PH0908315,297.6548,17837,10602,4568,1109556.2,842254.4,495512.1,35.62,32,2,32,0,0,0,0,32,0.0,1.0,10602
Region VII (Central Visayas),PH07,Negros Oriental,PH07046,City of Tanjay,PH0704621,228.4192,31968,10928,4868,1925730.3,1084469.6,642610.4,47.84,30,2,27,1,0,0,1,26,0.037,0.963,10524
Region XII (Soccsksargen),PH12,South Cotabato,PH12063,Tampakan,PH1206314,253.3007,21034,10523,4294,1376304.1,945924.0,538212.3,41.54,21,3,21,0,0,0,0,21,0.0,1.0,10523
Region I (Ilocos Region),PH01,Pangasinan,PH01055,Binmaley,PH0105513,63.7406,43386,11415,3972,2366573.1,1180864.6,588793.4,179.09,39,5,37,3,1,2,0,34,0.0811,0.9189,10489
Region XII (Soccsksargen),PH12,Sarangani,PH12080,Maasim,PH1208004,445.1896,25334,11069,3946,1196757.3,759848.5,415336.4,24.86,19,3,19,1,1,0,0,18,0.0526,0.9474,10487
Region III (Central Luzon),PH03,Bataan,PH03008,Mariveles,PH0300807,194.3162,44224,12027,3595,4050530.9,2349497.0,1447139.7,61.89,67,14,54,7,3,1,3,47,0.1296,0.8704,10468
Region X (Northern Mindanao),PH10,Lanao del Norte,PH10035,Tubod (Capital),PH1003522,166.8383,20417,10873,4706,1296692.5,960263.8,592330.4,65.17,29,3,26,1,0,0,1,25,0.0385,0.9615,10454
Region VII (Central Visayas),PH07,Bohol,PH07012,Ubay,PH0701246,264.8801,35165,11311,4685,2193439.3,1200043.4,709549.6,42.7,56,7,52,4,3,1,0,48,0.0769,0.9231,10441
Region VIII (Eastern Visayas),PH08,Leyte,PH08037,City of Baybay,PH0803708,377.8115,38262,16174,8575,2619113.7,1695525.4,1179266.6,42.81,37,10,31,11,3,5,3,20,0.3548,0.6452,10435
Region VI (Western Visayas),PH06,Negros Occidental,PH06045,Silay City,PH0604526,209.3696,39750,11241,5307,2633530.8,1368659.2,873751.3,53.69,32,3,26,2,1,1,0,24,0.0769,0.9231,10377
